
,Wooden Table Internal Item ID: 32 ,,Wood (8), Work Bench
,Boreal Wood Table Internal Item ID: 677 ,,Boreal Wood (8)
,Palm Wood Table Internal Item ID: 2532 ,,Palm Wood (8)
,Rich Mahogany Table Internal Item ID: 639 ,,Rich Mahogany (8)
,Ebonwood Table Internal Item ID: 638 ,,Ebonwood (8)
,Shadewood Table Internal Item ID: 917 ,,Shadewood (8)
,Pearlwood Table Internal Item ID: 640 ,,Pearlwood (8)
,Dynasty Table Internal Item ID: 2259 ,,Dynasty Wood (8)
,Spooky Table Internal Item ID: 1816 ,,Spooky Wood (8)
,Pine Table Internal Item ID: 1926 ,,Pine Tree Block (8)
,Cactus Table Internal Item ID: 2743 ,,Cactus (8)
,Pumpkin Table Internal Item ID: 1794 ,,Pumpkin (8)
,Mushroom Table Internal Item ID: 2550 ,,Glowing Mushroom (8)
,Meteorite Table () Internal Item ID: 3153 ,,Meteorite Brick (8)
,Granite Table () Internal Item ID: 3155 ,,Smooth Granite Block (8)
,Marble Table () Internal Item ID: 3154 ,,Smooth Marble Block (8)
,Martian Table () Internal Item ID: 2824 ,,Martian Conduit Plating (8)
,Banquet Table Internal Item ID: 1714 ,,Wood (8), Sawmill
,Bar Internal Item ID: 1715 ,,Wood (8)
,Living Wood Table Internal Item ID: 829 ,,Wood (8), Living Loom
,Glass Table Internal Item ID: 1713 ,,Glass (8), Glass Kiln
,Steampunk Table Internal Item ID: 1718 ,,Cog (8), Steampunk Boiler
,Skyware Table Internal Item ID: 830 ,,Sunplate Block (8), Sky Mill
,Frozen Table Internal Item ID: 2248 ,,Ice Block (8), Ice Machine
,Honey Table Internal Item ID: 1717 ,,Honey Block (8), Honey Dispenser
,Slime Table Internal Item ID: 2583 ,,Slime Block (8), Solidifier
,Bone Table Internal Item ID: 827 ,,Bone (8), Bone Welder
,Flesh Table Internal Item ID: 828 ,,Flesh Block (8), Flesh Cloning Vat
,Lihzahrd Table Internal Item ID: 1144 ,,Lihzahrd Brick (8), Lihzahrd Furnace
